Source,Target,Type
1,3,directed
1,21,directed
1,22,directed
1,34,directed
1,35,directed
1,36,directed
1,23,directed
1,24,directed
1,25,directed
1,26,directed
1,29,directed
1,30,directed
1,31,directed
4,21,directed
4,22,directed
2,3,directed
2,21,directed
27,1,directed
27,9,directed
